"benthis_met","av_kw","av_loa","av_fspeed","subsurface_prop","gearWidth","FirstFactor","SecondFactor"
"OT_SPF",883.8421,34.38526,2.9,2.8,0.101578945045984,0.9652,68.389
"SDN_DMF",167.6765,18.91915,NA,0,6.53664387674273,1948.8347,0.2363
"OT_DMF",441.6667,19.8,3.064286,7.8,0.105469844457146,9.6054,0.4337
"OT_MIX_DMF_BEN",691.0217,24.36896,2.911111,8.6,0.156305525738048,3.2141,77.9812
"SSC_DMF",481.795,23.1175,NA,5,6.45421201429503,4461.27,0.1176
"OT_MIX",400.6089,20.13774,2.788636,14.7,0.0613658709712345,10.6608,0.2921
"OT_MIX_DMF_PEL",690.3574,23.745,3.410385,22,0.0762052720952612,6.6371,0.7706
"OT_MIX_CRU_DMF",473.097,19.89515,2.629,22.9,0.11395914914364,3.9273,35.8254
"OT_MIX_CRU",681,21.685,3.008889,29.2,0.105117186878306,37.5272,0.149
"OT_CRU",345.5205,18.67739,2.47963,32.1,0.0789227529598627,5.1039,0.469
"TBB_CRU",210.625,20.765,2.975,52.2,0.0171506813949843,1.4812,0.4578
"TBB_DMF",822.1667,33.8866,5.230851,100,0.0202760293974626,0.6601,0.5078
"TBB_MOL",107.1773,10.14545,2.428571,100,0.00493059313096151,0.953,0.7094
"DRB_MOL",382.4375,24.59848,2.5,100,0.0169653127021458,0.3142,1.2454
"Nephrops_Trawl",NA,NA,60,2,0.06,NA,NA
"Otter_Trawl",NA,NA,60,2,0.06,NA,NA
"Otter_Trawl_Twin",NA,NA,100,3,0.1,NA,NA
"Beam_Trawl",NA,NA,18,18,0.018,NA,NA
"Boat_dredge",NA,NA,12,12,0.012,NA,NA
"Pair_Trawl_Seine",NA,NA,250,0,0.25,NA,NA
